"Univ Pittsburgh, Mech Engn & Mat Sci Dept, Pittsburgh, PA 15261 USA;",grid.21925.3d,"University of Pittsburgh","Pittsburgh","Pennsylvania","UNITED STATES"
"Georgetown Univ, Dept Comp Sci, Washington, DC 20057 USA;",grid.213910.8,"Georgetown University","Washington D.C.","District of Columbia","UNITED STATES"
"Texas A&M Univ, Dept Civil Engn, College Stn, TX 77843 USA;",grid.264756.4,"Texas A&M University","College Station","Texas","UNITED STATES"
"Tianjin Med Univ, Gen Hosp, Dept Dermatovenereol, Tianjin 300052, Peoples R China;",grid.265021.2,"Tianjin Medical University","Tianjin","","CHINA"
"Univ Cincinnati, Coll Med, Cincinnati, OH USA;",grid.24827.3b,"University of Cincinnati","Cincinnati","Ohio","UNITED STATES"
"Ohio State Univ, Fisher Coll Business, Columbus, OH 43210 USA;",grid.261331.4,"Ohio State University","Columbus","Ohio","UNITED STATES"
"SRI Int, Ctr Geospace Studies, Menlo Pk, CA 94025 USA",grid.98913.3a,"SRI International","Menlo Park","California","UNITED STATES"
"Univ Cambridge, Dept Mat Sci & Met, Cambridge CB3 0FS, England;",grid.5335.0,"University of Cambridge","Cambridge","","UNITED KINGDOM"
"Cornell Univ, INSTOC, Ithaca, NY 14853 USA;",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Univ Texas Hlth Sci Ctr San Antonio, Res Imaging Inst, San Antonio, TX 78229 USA;",grid.267309.9,"University of Texas Health Science Center at San Antonio","San Antonio","Texas","UNITED STATES"
"Cornell Univ, Weill Med Coll, Dept Physiol & Biophys, New York, NY 10065 USA;",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Forschungszentrum Julich, Inst Bio & Nano Syst IBN1 IT, D-52425 Julich, Germany",grid.8385.6,"Forschungszentrum Jülich","Jülich","","GERMANY"
"Univ Cambridge, Dept Chem, Cambridge CB2 1EW, England;",grid.5335.0,"University of Cambridge","Cambridge","","UNITED KINGDOM"
"Cornell Univ, Dept Phys, Wilson Lab, Ithaca, NY 14853 USA",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Cornell Univ, Dept Policy Anal & Management, Ithaca, NY 14853 USA",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Cornell Univ, Dept Appl Phys, Ithaca, NY 14850 USA;",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Ohio State Univ, Dept Elect & Comp Engn, Columbus, OH 43212 USA;",grid.261331.4,"Ohio State University","Columbus","Ohio","UNITED STATES"
"Cornell Univ, Meinig Sch Biomed Engn, 205 Weill Hall, Ithaca, NY 14853 USA",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Univ S Carolina, Columbia, SC 29208 USA;",grid.254567.7,"University of South Carolina","Columbia","South Carolina","UNITED STATES"
"Harvard Univ, Sch Publ Hlth, Dept Environm Hlth, Boston, MA 02115 USA",grid.38142.3c,"Harvard University","Cambridge","Massachusetts","UNITED STATES"
"Cornell Univ, Dept Comp Sci, Ithaca, NY 14853 USA",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Univ Calif Berkeley, Lawrence Berkeley Natl Lab, Mol Foundry, Berkeley, CA 94720 USA;",grid.47840.3f,"University of California, Berkeley","Berkeley","California","UNITED STATES"
"Cornell Univ, Coll Vet Med, Dept Biomed Engn, Coll Engn, Ithaca, NY 14853 USA",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Cornell Univ, Dept Plant Pathol, Ithaca, NY 14853 USA",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Univ Arizona, Dept Geosci, Tucson, AZ 85721 USA;",grid.134563.6,"University of Arizona","Tucson","Arizona","UNITED STATES"
"Univ Otago, Dept Chem, Nat Inst Water & Atmosphere Ctr Chem & Phys Ocea, Dunedin, New Zealand;",grid.29980.3a,"University of Otago","Dunedin","","NEW ZEALAND"
"Kwangwoon Univ, Ulsan Coll, Sch Elect Elect Engn, Seoul, South Korea;",grid.411202.4,"Kwangwoon University","Seoul","","SOUTH KOREA"
"Duke Univ, Dept Math, Durham, NC 27708 USA",grid.26009.3d,"Duke University","Durham","North Carolina","UNITED STATES"
"Cornell Univ, Dept Elect Engn, Ithaca, NY 14853 USA;",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Univ Toronto, Dept Astron & Astrophys, Toronto, ON M5S 3H4, Canada;",grid.17063.33,"University of Toronto","Toronto","Ontario","CANADA"
"Univ Iowa, Dept Pathol, Iowa City, IA 52242 USA;",grid.214572.7,"University of Iowa","Iowa City","Iowa","UNITED STATES"
"Univ Nottingham, Sch Built Environm, Nottingham NG7 2RD, England",grid.4563.4,"University of Nottingham","Nottingham","Nottingham","UNITED KINGDOM"
"Univ Toledo, Toledo, OH 43606 USA;",grid.267337.4,"University of Toledo","Toledo","Ohio","UNITED STATES"
"Univ Cincinnati, Dept Geol, Cincinnati, OH 45221 USA;",grid.24827.3b,"University of Cincinnati","Cincinnati","Ohio","UNITED STATES"
"Lehigh Univ, Dept Chem Engn, Bethlehem, PA 18015 USA;",grid.259029.5,"Lehigh University","Bethlehem","Pennsylvania","UNITED STATES"
"Natl Cheng Kung Univ, Dept Geomat, Tainan 70101, Taiwan",grid.64523.36,"National Cheng Kung University","Tainan City","","TAIWAN"
"Space Sci Inst, CICLOPS, Boulder, CO 80301 USA;",grid.296797.4,"Space Science Institute","Boulder","Colorado","UNITED STATES"
"Fudan Univ, Dept Environm Sci & Engn, Shanghai 200433, Peoples R China",grid.8547.e,"Fudan University","Shanghai","Shanghai","CHINA"
"Med Univ S Carolina, Cardiovasc Dev Biol Ctr, Childrens Res Inst, Charleston, SC 29425 USA",grid.259828.c,"Medical University of South Carolina","Charleston","South Carolina","UNITED STATES"
"Cornell Univ, Dept Mat Sci & Engn, Ithaca, NY 14850 USA",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
"Univ Calif Los Angeles, Dept Med, Los Angeles, CA 90095 USA;",grid.19006.3e,"University of California Los Angeles","Los Angeles","California","UNITED STATES"
"Univ Calif San Diego, Dept Neurosci, La Jolla, CA 92093 USA;",grid.266100.3,"University of California, San Diego","San Diego","California","UNITED STATES"
"Cornell Univ, Dept Mol Biol & Genet, Ithaca, NY USA",grid.5386.8,"Cornell University","Ithaca","New York","UNITED STATES"
